Region,District,Geographic_Zone,Latitude,Longitude,Altitude_m,Tree_Growth_Habitat,DBH_mm,Height_m,Crown_Diameter_m,Trunk_Diameter_m,Farm_Cultivated,Topography,Soil_Texture,Uses_Fruit,Uses_Leaf,Uses_Stem,Uses_Root,Uses_Seed,Target_Food,Target_Beverage,Target_Medicine
Bono East,Kintampo North Municipal,Middle_Zone,8.149,-2.076,145.08,Spreading,"3,100",21,15,3.1,Unknown,Flat land,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.091,-1.896,177.52,Erect,"2,400",21,11,2.4,Unknown,Flat land,Sandy loam,1,1,1,0,0,1,1,1
Bono East,Kintampo South,Middle_Zone,7.822,-1.759,331.82,Spreading,"3,100",20,15,3.1,Field,Undulating,Sandy loam,1,1,0,0,0,1,1,0
Bono East,Kintampo South,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,900",20,16,2.9,Field,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Nkoranza North,Middle_Zone,7.638,-1.725,353.38,Spreading,"3,400",19,17,34,Other,Undulating,Sandy loam,1,1,0,0,0,1,1,0
Bono East,Nkoranza North,Middle_Zone,8.028,-0.585,177.57,Spreading,"3,100",18,15,3.1,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Nkoranza North,Middle_Zone,8.028,-0.585,177.57,Erect,"2,100",19,10,2.1,Field,Undulating,Sandy loam,1,1,0,0,0,1,1,0
Bono East,Nkoranza North,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,800",20,14,2.8,Field,Undulating,Sandy loam,1,1,0,0,0,1,1,0
Eastern,Asuogyaman,Southern_Zone,6.236,0.1,45.93,Erect,"3,000",19,10,3,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,1,1,1,0,0,1,1,1
Eastern,Asuogyaman,Southern_Zone,6.243,0.111,60.93,Spreading,"8,000",31,26,8,Orchard,Flat land,Sand,1,1,0,0,0,1,1,0
Eastern,Asuogyaman,Southern_Zone,6.243,0.111,64.63,Spreading,"9,000",31,19,9,Fallow land,Flat land,Sand,1,1,0,0,0,1,1,0
Eastern,Asuogyaman,Southern_Zone,6.243,0.112,70.05,Spreading,"5,000",28,18,5,Fallow land,Flat land,Sand,0,1,0,0,0,1,0,0
Eastern,Asuogyaman,Southern_Zone,6.24,0.093,40.89,Spreading,"8,000",31,22,8,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,1,1,1,0,0,1,1,1
Eastern,Yilo Krobo,Southern_Zone,6.057,-0.03,109.05,Spreading,"7,000",15,10,7,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,1,1,0,0,0,1,1,1
Eastern,Yilo Krobo,Southern_Zone,6.058,-0.028,128.37,Erect,"5,000",18,12,5,Fallow land,Swamp,Clay loam,1,1,0,0,0,1,0,1
Eastern,Yilo Krobo,Southern_Zone,6.057,-0.025,147.86,Erect,"5,000",22,16,5,Fallow land,Swamp,Clay loam,0,1,0,0,0,1,1,0
Eastern,Yilo Krobo,Southern_Zone,6.054,-0.026,150.82,Erect,"6,000",21,12,6,Field,Flat land,Sandy loam,1,1,0,0,0,1,1,1
Eastern,Yilo Krobo,Southern_Zone,6.065,-0.018,88.79,Erect,"3,000",22,16,3,Field,Flat land,Sandy loam,1,1,1,0,0,1,1,0
Eastern,Yilo Krobo,Southern_Zone,6.103,0.004,83.3,Spreading,"5,000",26,18,5,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,1,0
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,800",22,14,2.8,Unknown,Flat land,Sandy clay loam,1,1,0,0,0,1,1,1
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.301,-2.179,210.6,Spreading,"3,500",19,22,3.5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,0
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.301,-2.179,209.77,Spreading,"3,600",20,14,3.6,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,1,0
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.53,-2.202,183.66,Spreading,"2,400",19,12,2.4,Field,Flat land,Sand,1,1,0,0,0,1,0,1
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.236,-1.928,127.51,Spreading,"2,300",20,15,2.3,Unknown,Flat land,Sandy clay loam,1,1,0,0,0,1,1,1
Upper East,Nabdam,Northern_Zone,10.797,-0.794,350.66,Drooping,950,7,21.9,12.3,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Loam,1,1,0,0,1,1,0,1
Upper East,Nabdam,Northern_Zone,10.934,-0.499,231.61,Drooping,330,4,8.7,3.8,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy clay loam,1,1,0,0,0,1,1,0
Upper East,Nabdam,Northern_Zone,10.959,-1.1,234.35,Drooping,530,9,17.8,5.8,Field,Flat land,Sand,1,1,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,10.96,-1.099,240.09,Erect,280,7,12.65,3.4,Field,Flat land,Clay loam,1,1,0,0,1,1,0,0
Upper East,Nabdam,Northern_Zone,10.965,-1.102,240.97,Drooping,810,9,18.8,9.2,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,1,1,0,0,0,1,0,0
Upper East,Nabdam,Middle_Zone,8.028,-0.585,177.57,Drooping,550,8.5,18.1,6,Other,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,10.844,-1.032,203.77,Erect,275,4,10.3,3.5,Field,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,10.843,-1.032,202.9,Spreading,735,8.5,21.1,8.8,Field,Swamp,Clay loam,1,1,0,0,0,1,1,0
Upper East,Nabdam,Northern_Zone,10.843,-1.032,201.04,Drooping,450,8,15.3,5.2,Field,Flat land,Clay loam,1,1,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,10.843,-1.033,211.43,Spreading,"1,100",19.92,10,10.4,Field,Flat land,Loamy sand,1,1,0,0,0,1,1,0
Upper East,Nabdam,Northern_Zone,10.851,-1.021,198.4,Spreading,520,8.5,17.27,5.56,Field,Flat land,Loam,1,1,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,10.852,-1.022,186.94,Erect,190,8,7.1,2.6,Field,Flat land,Clay loam,1,1,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,10.794,-0.859,251.69,Spreading,730,12,18.3,7.5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,1,0,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,10.796,-0.794,250.4,Spreading,860,7,21.2,9.8,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Silt loam,1,0,0,0,0,1,0,1
Upper East,Nabdam,Northern_Zone,11.027,-0.253,267.06,Spreading,395,6,11.2,4.8,Field,Flat land,Sandy loam,1,1,0,0,1,1,0,0
Upper East,Nabdam,Northern_Zone,11.027,-0.253,261.43,Erect,470,7,9.7,5.3,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,10.987,-0.214,275.83,Erect,570,10,16.2,7.8,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,0,1,0,0,1,1,0,0
Upper East,Nabdam,Northern_Zone,10.881,-0.557,272.68,Drooping,910,10,25.2,11,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Loam,1,1,0,0,1,1,0,0
Upper East,Nabdam,Northern_Zone,10.893,-0.543,244.04,Erect,470,6,16.6,5.4,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Silt loam,1,1,0,0,1,1,1,0
Upper East,Nabdam,Northern_Zone,10.892,-0.543,279.93,Erect,"1,110",7,24.6,11.1,Fallow land,Flat land,Silt,0,1,0,0,1,1,0,0
Upper East,Nabdam,Northern_Zone,10.935,-0.499,268.98,Drooping,500,6,7,5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,1,1,0,0,1,1,0,0
Upper East,Nabdam,Northern_Zone,10.934,-0.499,268.87,Erect,400,6.5,17,4.7,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,1,1,0,0,1,1,1,0
Upper East,Nabdam,Northern_Zone,10.99,-0.213,274.19,Erect,390,8,13,4.5,Field,Flat land,Sand,1,0,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,11.002,-0.22,302.51,Erect,640,8,13.8,6.7,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Silt loam,1,1,0,0,0,1,0,0
Upper East,Nabdam,Northern_Zone,11.002,-0.22,271.27,Erect,610,9,11.1,6.83,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Silt loam,1,1,0,0,1,1,0,0
Upper East,Nabdam,Northern_Zone,10.814,-1.182,200.46,Drooping,570,9,21.8,7.6,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,0,1,1,0,1,1,1,0
Upper West,Sissala East,Northern_Zone,10.744,-2.039,338.3,Spreading,640,9,16.55,6.9,Field,Flat land,Sandy loam,1,1,1,1,0,1,0,1
Upper West,Sissala East,Northern_Zone,10.744,-2.039,332.78,Drooping,550,6,16.1,5.9,Field,Flat land,Sandy loam,1,1,0,1,0,1,0,1
Upper West,Sissala East,Middle_Zone,8.028,-0.585,177.57,Drooping,540,7,15.6,6.1,Field,Flat land,Loamy sand,0,1,0,1,0,1,0,1
Upper West,Wa East,Northern_Zone,10.367,-2.038,249.36,Spreading,810,12,23.8,9.5,Field,Flat land,Sandy loam,1,0,0,0,0,1,0,0
Upper West,Wa East,Northern_Zone,10.367,-2.034,255.49,Drooping,590,12,19.1,7,Field,Flat land,Loam,1,1,0,0,0,1,0,0
Upper West,Wa East,Northern_Zone,10.367,-2.038,243.66,Drooping,770,12,21.6,8.3,Field,Flat land,Sandy loam,1,0,0,0,0,1,0,0
Upper West,Wa West,Northern_Zone,10.359,-2.237,319.45,Drooping,"1,365",15,27.75,14.4,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,1,1,1,1,1,1,0,1
Upper West,Wa West,Northern_Zone,10.358,-2.237,324.68,Spreading,"1,210",12,25.7,12,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,1,1,1,1,1,1,0,1
Volta,North Tongu,Southern_Zone,6.148,0.224,59.26,Spreading,"3,000",28,17,3,Fallow land,Flat land,Clay loam,1,1,0,0,0,1,1,0
Volta,North Tongu,Southern_Zone,6.235,0.174,113.28,Spreading,"6,000",25,18,6,Field,Wet land,Clay loam,1,1,0,0,0,1,1,0
Volta,North Tongu,Southern_Zone,6.235,0.174,110.85,Erect,"3,000",22,12,3,Field,Wet land,Sandy loam,1,1,1,0,0,1,1,1
Volta,North Tongu,Southern_Zone,6.231,0.18,104.48,Spreading,"7,000",28,19,7,Field,Flat land,Silt loam,1,1,0,0,0,1,1,0
Volta,North Tongu,Southern_Zone,6.232,0.186,97.71,Erect,"8,000",31,18,8,Field,Flat land,Clay loam,1,1,0,0,0,1,1,1
Volta,North Tongu,Southern_Zone,6.234,0.185,104.13,Erect,"2,500",23,16,2.5,Field,Flat land,Silt loam,1,1,0,0,0,1,1,0
Volta,North Tongu,Southern_Zone,6.227,0.184,85.79,Spreading,"3,000",23,12,3,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Volta,North Tongu,Southern_Zone,6.227,0.183,88.98,Erect,"9,000",38,24,9,Other,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Volta,North Tongu,Southern_Zone,6.227,0.183,109.23,Spreading,"8,000",34,22,8,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,1,0
Volta,North Tongu,Southern_Zone,6.213,0.193,113.3,Erect,"8,000",32,19,8,Field,Flat land,Silt loam,1,1,0,0,0,1,1,0
Volta,North Tongu,Southern_Zone,6.213,0.193,99.96,Erect,"7,500",31,20,7.5,Field,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Volta,North Tongu,Southern_Zone,6.185,0.206,72.94,Erect,"4,000",23,12,4,Field,Wet land,Clay loam,1,1,0,0,0,1,0,0
Volta,North Tongu,Southern_Zone,6.149,0.225,73.06,Spreading,"2,000",15,13,2,Field,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Volta,North Tongu,Southern_Zone,6.149,0.225,50.37,Erect,"3,000",36,14,3,Field,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Volta,North Tongu,Southern_Zone,6.147,0.224,52.87,Erect,"6,000",32,19,6,Field,Flat land,Clay loam,1,1,0,0,0,1,0,0
Volta,North Tongu,Southern_Zone,6.148,0.224,59.28,Spreading,"4,000",22,16,4,Fallow land,Flat land,Clay loam,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.5,0.715,111.14,Erect,"3,000",31,14,3,Fallow land,Flat land,Sand,1,1,1,0,0,1,0,0
Volta,South Tongu,Southern_Zone,6.606,0.454,230.87,Erect,"4,000",27,15,4,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Hilly,Sand,1,1,1,0,1,1,1,1
Volta,South Tongu,Southern_Zone,6.606,0.454,227.63,Erect,"6,000",31,19,6,Orchard,Hilly,Sand,1,1,1,0,1,1,1,1
Volta,South Tongu,Southern_Zone,6.577,0.419,192.45,Erect,"3,000",25,18,3,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Hilly,Sandy loam,1,0,0,0,0,1,0,0
Volta,South Tongu,Southern_Zone,6.509,0.249,159.14,Spreading,"10,000",38,17,10,Fallow land,Wet land,Clay loam,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.45,0.212,132.74,Spreading,"3,000",23,16,3,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.499,0.722,115,Erect,"8,000",31,13,8,Other,Flat land,Sand,1,1,0,0,0,1,0,0
Volta,South Tongu,Southern_Zone,6.563,0.622,152.19,Erect,"9,000",32,15,9,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.563,0.623,143.3,Erect,"3,000",27,14,3,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.243,0.895,75.26,Erect,"5,000",32,13,5,Other,Flat land,Sandy loam,1,0,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.268,0.893,135.13,Spreading,"3,000",27,12,3,Unknown,Flat land,Clay loam,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.38,0.844,138.99,Erect,"3,000",32,14,3,Other,Flat land,Sand,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.409,0.768,115.24,Erect,"8,000",36,12,8,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,1,1,0,0,0,1,1,1
Volta,South Tongu,Southern_Zone,6.563,0.623,142.51,Erect,"6,000",28,14,6,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.563,0.622,142.52,Spreading,"4,000",24,16,4,Fallow land,Flat land,Sandy loam,1,1,0,0,0,0,1,0
Volta,South Tongu,Southern_Zone,6.563,0.622,142.24,Spreading,"3,000",22,12,3,Fallow land,Flat land,Sandy loam,1,0,0,0,0,1,0,0
Volta,South Tongu,Southern_Zone,6.529,0.714,94.16,Erect,"8,000",32,12,8,Orchard,Flat land,Sandy loam,1,1,0,0,0,1,1,1
Volta,South Tongu,Southern_Zone,6.52,0.716,97.29,Erect,"6,000",32,14,6,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.519,0.716,96.6,Erect,"5,000",30,13,5,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Volta,South Tongu,Southern_Zone,6.519,0.714,107.38,Erect,"7,000",28,12,7,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Volta,South Tongu,Southern_Zone,6.511,0.717,100.82,Erect,"4,000",27,18,4,Other,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Volta,South Tongu,Southern_Zone,6.448,0.724,115.47,Erect,"3,000",19,11,3,Fallow land,Wet land,Sand,1,1,0,0,0,1,1,0
Volta,South Tongu,Southern_Zone,6.5,0.715,104.14,Erect,"2,000",22,9,2,Other,Flat land,Sandy loam,1,1,1,0,0,1,1,1
Volta,South Tongu,Southern_Zone,6.5,0.716,106.27,Erect,"4,000",28,11,4,Fallow land,Flat land,Sand,1,1,1,0,0,1,0,1
Ahafo,District_3,Northern_Zone,10.235,-0.204,167.3,Drooping,"3,723.47",20.803,18.029,5.575,Parkland,Hilly,Clay loam,1,1,0,1,0,1,1,1
Ahafo,District_11,Middle_Zone,9.208,-2.097,122.844,Erect,"4,072.74",28.524,12.376,7.386,Woodlot,Flat land,Sandy loam,1,1,0,0,0,1,1,1
Ahafo,District_3,Southern_Zone,8.372,-0.088,288.545,Spreading,"4,367.35",23.503,13.108,7.565,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Valley,Loamy sand,1,1,0,0,0,1,0,1
Ahafo,District_11,Northern_Zone,10.211,0.982,146.568,Drooping,"4,372.34",20.369,21.22,7.573,Parkland,Undulating,Silty loam,1,1,0,0,0,1,1,1
Ashanti,District_9,Northern_Zone,6.458,-0.532,296.492,Drooping,"4,152.45",22.631,14.992,6.423,Parkland,Valley,Loamy sand,1,1,0,0,0,1,0,1
Ashanti,District_1,Middle_Zone,9.52,-0.404,172.864,Erect,"3,453.53",16.743,19.57,4.176,Woodlot,Undulating,Silty loam,0,1,1,1,0,1,0,1
Ashanti,District_9,Southern_Zone,9.673,-1.954,171.264,Spreading,"4,546.13",24.563,19.613,4.819,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Plateau,Sandy,0,1,0,1,1,1,0,1
Bono,District_2,Middle_Zone,8.661,-1.707,126.031,Erect,"3,280.40",29.013,14.918,4.219,Cropland,Undulating,Sandy clay loam,1,1,1,0,0,1,0,1
Bono,District_10,Southern_Zone,10.723,0.298,283.034,Spreading,"3,374.22",24.364,19.914,7.231,Fallow land,Plateau,Sandy clay,1,1,1,0,0,1,1,1
Bono,District_2,Northern_Zone,8.637,-2.96,103.152,Drooping,"4,171.80",27.478,16.209,4.863,Unknown,Hilly,Silty clay,1,0,1,0,1,1,1,1
Bono,District_10,Middle_Zone,9.899,0.682,259.889,Erect,"4,965.63",18.123,20.734,6.077,Cropland,Flat land,Clay,0,1,0,0,0,1,0,1
Bono East,District_7,Southern_Zone,7.049,-1.572,341.459,Spreading,"3,803.12",13.993,11.924,5.515,Fallow land,Undulating,Silty loam,1,1,0,0,0,0,1,1
Bono East,District_15,Northern_Zone,10.924,0.38,352.363,Drooping,"3,388.10",22.535,9.657,4.595,Cropland,Plateau,Sandy,1,1,0,0,1,0,1,0
Bono East,District_7,Middle_Zone,7.535,0.131,150.928,Erect,"2,448.89",14.786,8.826,5.822,Woodlot,Hilly,Clay loam,1,1,0,0,0,0,0,1
Bono East,District_15,Southern_Zone,6.878,-0.394,275.496,Spreading,"2,309.16",23.072,10.941,4.091,Fallow land,Flat land,Sandy loam,1,1,1,0,0,0,1,0
Bono East,District_7,Northern_Zone,8.652,-0.897,361.794,Drooping,"2,669.78",22.47,14.35,5.454,Cropland,Valley,Loamy sand,0,1,1,0,1,0,0,0
Bono East,District_15,Middle_Zone,9.947,0.456,60.378,Erect,"2,739.55",18.36,17.604,2.116,Woodlot,Undulating,Silty loam,1,1,0,0,1,0,0,1
Bono East,District_7,Southern_Zone,6.918,0.886,294.96,Spreading,"3,710.21",16.766,19.064,2.511,Fallow land,Plateau,Sandy,1,1,0,0,0,0,1,1
Central,District_5,Middle_Zone,8.049,-1,148.469,Erect,"4,554.42",24.849,13.038,6.544,Woodlot,Plateau,Sandy,1,1,0,0,0,1,1,1
Central,District_13,Southern_Zone,6.66,-0.544,200.501,Spreading,"4,891.07",21.903,21.347,5.31,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Hilly,Clay loam,1,1,1,0,0,1,1,1
Central,District_5,Northern_Zone,7.144,-1.517,187.946,Drooping,"3,886.19",18.066,17.19,7.078,Parkland,Flat land,Sandy loam,1,1,0,0,0,1,0,1
Eastern,District_6,Northern_Zone,10.169,0.885,157.458,Drooping,"3,989.35",22.099,20.549,3.366,Unknown,Flat land,Clay,1,1,0,0,1,1,1,1
Eastern,District_14,Middle_Zone,7.107,-2.497,244.249,Erect,"3,383.09",28.198,13.076,7.944,Cropland,Valley,Loam,1,1,1,0,0,1,1,1
Eastern,District_6,Southern_Zone,9.836,0.472,282.771,Spreading,"3,249.09",15.947,16.78,7.081,Fallow land,Undulating,Sandy clay loam,1,1,1,0,0,1,1,1
Greater Accra,District_7,Southern_Zone,9.339,-0.568,243.088,Spreading,"3,949.21",28.774,21.928,5.994,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Silty loam,1,1,0,1,1,1,1,1
Greater Accra,District_15,Northern_Zone,10.817,-0.989,147.519,Drooping,"3,820.62",17.446,19.791,7.639,Parkland,Plateau,Sandy,1,1,1,0,0,1,1,1
Greater Accra,District_7,Middle_Zone,8.545,-0.428,284.578,Erect,"4,715.58",20.784,18.13,3.405,Woodlot,Hilly,Clay loam,1,1,0,1,0,1,1,1
North East,District_6,Northern_Zone,8.319,-1.11,139.726,Drooping,"3,326.08",16.609,19.37,5.862,Unknown,Flat land,Clay,1,1,0,0,0,0,0,0
North East,District_14,Middle_Zone,8.913,-1.408,114.87,Erect,"3,300.83",22.732,18.832,5.364,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Valley,Loam,1,0,0,0,0,0,0,1
North East,District_6,Southern_Zone,9.811,-2.35,334.95,Spreading,"4,424.65",22.525,18.177,3.393,Parkland,Undulating,Sandy clay loam,0,1,0,0,0,0,0,0
North East,District_14,Northern_Zone,10.502,-1.588,305.216,Drooping,"4,074.56",19.805,14.954,3.261,Unknown,Plateau,Sandy clay,1,0,1,0,0,0,1,0
North East,District_6,Middle_Zone,10.114,-2.063,344.797,Erect,"2,027.05",23.155,13.17,4.847,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Hilly,Silty clay,1,1,1,0,1,0,0,0
North East,District_14,Southern_Zone,6.821,-0.824,59.357,Spreading,"4,119.07",19.145,12.067,5.782,Parkland,Flat land,Clay,1,0,0,0,0,0,1,0
North East,District_6,Northern_Zone,10.584,-0.32,187.049,Drooping,"4,226.34",18.241,11.248,5.677,Unknown,Valley,Loam,1,1,0,0,0,0,0,0
Northern,District_2,Middle_Zone,8.343,0.451,82.526,Erect,"3,149.43",14.289,14.187,2.202,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy clay loam,1,1,1,0,0,0,1,1
