latitude,longitude,altitude,Drainage,Height,crown_diameter,trunk_diameter,dbh,taste_attribute,medicine_use,stem_used,crown_height_ratio,canopy_area_m2,trunk_height_ratio,volume_proxy,plant_use_count,parts_used_count,dbh_height_ratio,trunk_crown_ratio,height_crown_product,dbh_category,height_category,total_special_attributes,target
10.263,-0.26,214.384,1,8.362,15.576,6.108,"1,868.55",1,0,0,3.067,377.907,0.296,"3,381.33",1,1,245.217,0.377,173.652,1,0,1,0
10.879,-1.042,297.331,1,6.8,11.688,5.355,506.444,0,1,0,2.184,184.272,0.878,"1,117.84",2,2,79.885,0.418,75.068,0,0,1,0
10.202,-0.452,176.23,1,15.257,18.36,8.762,"4,408.74",1,1,0,3.017,274.251,0.377,"3,502.29",2,2,240.105,0.447,255.119,0,0,2,0
6.155,-0.028,117.481,1,20.494,13.321,4.025,"4,002.16",0,0,0,0.699,167.662,0.19,"2,542.56",1,1,138.572,0.258,274.682,2,1,0,0
10.934,-0.32,261.894,1,7.922,12.075,5.659,486.696,1,0,0,1.388,158.001,0.711,635.315,1,2,66.289,0.397,95.913,0,0,1,0
10.917,-0.51,255.481,1,7,15.294,6.84,498.139,1,0,0,2.15,204.2,0.791,"2,780.07",1,2,90.648,0.512,119.709,0,0,1,0
6.108,0.108,108.875,1,20.895,17.193,6.586,"5,999.56",0,0,0,0.74,214.132,0.25,"5,210.57",1,1,250,0.363,319.364,2,1,0,0
6.212,0.007,100.293,2,26.076,16.671,7.238,"7,225.58",1,1,0,0.71,217.999,0.27,"4,059.81",2,2,269.149,0.421,440.493,2,1,2,0
6.231,0.178,106.98,1,25.595,18.052,6.374,"4,469.96",1,1,1,0.61,241.638,0.22,"6,148.03",2,3,190.279,0.306,336.797,2,1,2,0
8.784,-0.139,252.268,1,20.995,11.754,5.778,"3,577.26",1,0,0,1.283,101.84,0.734,"3,837.76",1,2,184.731,0.492,179.762,0,0,1,0
10.835,-0.568,249.194,1,7,23.343,12.195,"1,013.56",1,0,0,3.44,411.246,1.645,"3,074.16",1,1,138.908,0.537,157.434,1,0,1,0
10.922,-0.216,179.57,1,9.725,10.085,4.799,"2,677.82",1,0,0,0.953,78.938,0.231,756.659,1,2,93.343,0.513,77.418,0,0,1,0
9.787,-1.988,303.51,1,9.867,13.857,4.404,"1,688.13",0,1,0,1.004,189.067,0.736,"1,998.03",2,2,130.701,0.344,221.706,0,0,1,0
9.471,-0.003,184.07,2,21.627,20.814,7.772,"1,978.59",1,0,0,0.781,449.688,0.763,"5,773.75",1,2,184.963,0.386,353.689,0,0,1,0
7.583,-0.02,230.225,1,17.742,19.303,9.734,"3,874.39",1,0,0,1.741,431.829,0.885,"7,461.44",1,1,249.245,0.416,388.55,1,0,1,0
6.232,0.186,96.148,1,31,18,8,"8,000",1,1,0,0.581,254.469,0.258,"7,888.54",2,2,258.06,0.444,558,2,2,2,0
6.086,0.163,102.596,2,27.201,18.058,4.103,"4,795.01",1,0,1,0.705,202.52,0.179,"4,926.07",1,3,142.484,0.311,443.961,2,1,1,0
6.231,0.18,106.755,1,28,19,7,"7,000",1,0,0,0.679,283.529,0.25,"7,938.81",1,2,250,0.368,532,2,2,1,0
10.886,-0.554,264.37,1,8.383,24.803,11.074,"1,091.47",1,0,0,3.129,497.338,1.376,"3,616.31",1,1,124.955,0.443,249.476,1,0,1,0
10.832,-0.395,248.097,1,7,10.787,10.857,668.229,1,0,0,1.745,113.199,1.148,"1,204.54",1,2,132.297,0.55,77.913,0,0,1,0
6.058,-0.027,145.182,1,20.019,15.3,5.151,"5,522.71",0,0,0,0.753,183.854,0.271,"3,772.27",1,1,270.249,0.384,319.963,2,1,0,0
10.903,-1.093,238.156,1,8.5,18.1,6,550,1,0,0,2.129,257.304,0.706,"2,187.09",1,2,64.71,0.331,153.85,0,0,1,0
9.466,0.03,217.279,1,24.13,19.516,10.817,"1,117.36",1,1,0,1.365,285.441,0.536,"6,860.35",2,2,179.052,0.479,346.677,0,0,2,0
6.233,0.184,109.362,1,29.287,14.053,5.286,"5,215.07",1,1,1,0.562,167.672,0.18,"4,972.42",2,3,191.498,0.405,547.86,2,1,2,0
7.924,-1.809,283.91,1,8.703,18.952,6.021,"4,226.12",0,1,0,2.221,262.345,0.957,"5,042",2,2,113.819,0.367,481.859,0,0,1,0
6.38,0.844,134.539,2,32,14,3,"3,000",0,0,0,0.437,153.938,0.094,"4,926.02",1,2,93.75,0.214,448,2,2,0,0
6.581,-0.172,205.18,1,20.405,14.376,5.023,"1,478.08",1,0,0,1.768,113.194,0.367,"2,240.90",1,2,130.242,0.266,240.756,0,0,1,0
10.201,-0.291,210.596,1,26.302,18.067,6.403,"3,028.14",1,0,0,1.44,256.655,0.33,"5,503.61",1,2,253.045,0.387,367.649,0,0,1,0
7.979,-0.54,250.467,1,15.106,23.613,7.545,"5,216.77",1,0,0,1.322,387.342,0.414,"3,371.36",1,1,225.516,0.425,307.724,1,0,1,0
8.532,-0.702,211.893,1,12.981,17.264,6.888,"1,336.02",1,1,0,1.818,154.022,0.313,"2,633.46",2,2,135.939,0.352,214.418,0,0,2,0
10.9,-0.934,250.343,1,8.277,22.019,10.467,"1,037.50",1,0,0,3.388,421.286,1.349,"2,803.52",1,2,126.958,0.395,165.372,0,0,1,0
11.027,-0.253,269.51,1,7,9.7,5.3,470,1,0,0,1.386,73.898,0.757,517.287,1,2,67.14,0.546,67.9,0,0,1,0
6.166,0.131,129.49,1,23.17,17.333,7.991,"7,992.13",0,0,0,0.626,249.285,0.253,"7,321.29",1,1,252.149,0.406,323.328,2,1,0,0
7.19,0.076,172.079,1,7.021,19.003,9.645,"5,654.34",1,1,0,2.747,312.646,0.421,"7,708.74",2,2,150.416,0.535,296.608,0,0,2,0
6.061,-0.021,133.071,2,21.152,15.672,4.97,"5,793.28",1,1,0,0.728,185.56,0.155,"4,402.66",2,2,156.165,0.388,327.094,2,1,2,0
9.619,-0.252,175.611,1,17.017,15.16,5.902,"1,237.79",1,0,0,1.095,139.963,0.289,"1,899.49",1,2,65.982,0.32,160.119,0,0,1,0
6.054,-0.026,153.301,2,21,15.3,6,"6,000",1,1,0,0.729,183.854,0.286,"3,860.93",2,2,285.71,0.392,321.3,2,1,2,0
6.5,0.716,106.38,2,28,11,4,"4,000",0,1,1,0.393,95.033,0.143,"2,660.93",2,3,142.86,0.364,308,2,2,1,0
10.082,-0.429,158.658,1,18.77,13.896,11.88,"2,610.32",1,1,0,2.371,175.109,0.303,"2,019.15",2,2,149.42,0.517,174.465,0,0,2,0
6.701,-0.729,123.147,1,21.501,16.003,5.489,"1,616.38",0,1,0,1.302,201.783,0.903,"2,004.88",2,2,132.253,0.245,117.306,0,0,1,0
6.06,-0.025,111.059,1,21.843,15.468,3.405,"4,607.39",0,0,0,0.753,187.81,0.223,"4,063.02",1,1,232.387,0.222,326.162,2,1,0,0
10.884,-0.854,239.718,1,7.989,18.875,9.473,705.884,1,0,0,3.011,270.793,0.774,"2,497.91",1,2,94.707,0.492,153.488,0,0,1,0
7.039,-0.319,215.094,1,19.737,15.577,10.406,"2,722.16",1,0,0,1.538,418.462,0.701,"3,060.96",1,1,154.099,0.377,223.154,1,0,1,0
6.502,-0.186,261.233,2,12.266,15.456,8.246,"3,770.61",1,0,0,2.505,370.29,0.393,"4,870.57",1,2,248.58,0.347,259.849,0,0,1,0
7.032,-0.626,225.117,1,14.96,15.856,5.235,"4,473.03",1,0,0,0.925,191.807,0.59,"3,663.64",1,2,225.628,0.328,229.173,0,0,1,0
10.893,-0.543,251.294,1,7,24.6,11.1,"1,110",1,0,0,3.514,475.292,1.586,"3,327.04",1,1,158.57,0.451,172.2,1,0,1,0
10.797,-0.794,247.838,1,7,21.9,12.3,950,1,1,0,3.129,376.685,1.757,"2,636.79",2,2,135.71,0.562,153.3,0,0,2,0
9.607,-0.792,132.441,1,13.819,16.67,12.254,"2,308.59",1,1,0,2.406,321.465,1.485,"4,217.14",2,2,136.017,0.556,281.266,0,0,2,0
10.857,-0.499,190.023,1,19.433,19.945,10.8,"3,992.34",1,0,0,0.829,465.513,1.23,"7,186.18",1,1,217.773,0.447,290.261,1,0,1,0
10.834,-0.023,226.696,1,10.01,18.87,6.214,"3,503.64",1,0,0,2.117,265.652,0.324,"4,995.30",1,2,219.781,0.365,421.388,0,0,1,0
8.521,-0.172,197.179,2,15.354,21.195,7.248,"2,867.38",1,0,0,1.994,232.629,0.672,"3,927.17",1,2,98.569,0.405,228.249,0,0,1,0
7.65,-0.353,128.133,1,12.333,19.777,10.799,"2,610.02",1,0,0,3.513,368.158,0.366,"3,547.69",1,1,144.083,0.295,182.236,1,0,1,0
6.157,0.168,113.29,2,21.456,17.578,6.517,"6,031.12",1,1,0,0.718,265.046,0.282,"4,605.87",2,2,255.439,0.384,426.67,2,1,2,0
8.216,-1.858,303.369,1,6.839,15.791,5.417,"1,885.47",0,1,0,1.811,185.245,0.981,"2,538.04",2,2,127.477,0.327,283.54,0,0,1,0
8.87,-0.478,199.104,1,15.075,16.025,5.998,"5,887.37",0,1,0,2.552,197.317,0.947,"1,613.13",2,2,218.569,0.383,320.166,0,0,1,0
6.106,0.011,108.665,2,22,12.699,3,"3,000",1,0,1,0.704,186.282,0.136,"4,089.32",1,3,136.36,0.218,315.568,2,1,1,0
6.058,-0.028,133.119,1,20,15.3,5,"5,000",0,0,0,0.765,183.854,0.25,"3,677.08",1,1,250,0.327,306,2,1,0,0
10.763,-1.003,273.05,1,6.311,17.732,8.928,661.3,0,1,0,2.53,226.296,1.09,"2,819.33",2,2,91.34,0.421,147.694,0,0,1,0
7.01,-0.162,112.519,1,18.89,11.525,8.402,"1,948.10",1,0,0,1.186,452.765,0.646,"1,770.33",1,1,158.324,0.307,176.643,1,0,1,0
8.993,-0.159,171.43,1,17.097,15.786,3.295,"2,068.18",1,0,0,0.987,80.27,0.413,"1,455.58",1,2,83.732,0.33,209.936,0,0,1,0
6.082,0.065,117.285,2,21.693,12.554,5.893,"4,824.98",1,1,0,0.572,147.277,0.228,"2,931.61",2,2,230.112,0.268,312.215,2,1,2,0
6.064,-0.018,94.082,2,22,16,3,"3,000",1,0,1,0.727,201.062,0.136,"4,423.36",1,3,136.36,0.188,352,2,1,1,0
10.881,-0.557,266.689,2,10,25.2,11,910,1,0,0,2.52,498.759,1.1,"4,987.59",1,2,91,0.437,252,0,0,1,0
6.243,0.112,70.182,2,28,18,5,"5,000",0,0,0,0.643,254.469,0.179,"7,125.13",1,1,178.57,0.278,504,2,2,0,0
10.554,-2.038,281.047,1,11.476,20.681,7.555,726.494,0,0,0,1.803,283.964,0.73,"3,471.64",1,1,65.561,0.389,180.673,0,0,0,1
10.87,-0.635,235.882,1,7.888,13.81,5.379,298.571,1,0,0,1.298,114.679,0.81,452.511,1,2,47.843,0.325,62.099,0,0,1,1
10.453,-1.502,245.33,1,9.326,13.795,4.925,288.402,0,0,0,1.806,289.386,0.5,"2,928.69",1,1,52.519,0.359,95.376,0,0,0,1
10.828,-0.489,285.836,1,7.661,11.996,6.74,449.297,0,1,1,1.853,130.184,0.782,"1,596.72",2,3,67.61,0.421,129.053,0,0,1,1
10.843,-1.028,205.202,1,8.451,17.162,4.086,375.591,1,0,0,1.948,229.119,0.555,"1,808.85",1,2,6.438,0.246,143.548,0,0,1,1
10.744,-2.038,337.501,1,8.936,15.877,6.717,599.587,0,1,1,1.93,195.708,0.834,"1,884.21",2,3,72.253,0.413,128.117,0,0,1,1
10.839,-1.151,217.055,1,8.856,19.697,6.412,113.886,1,0,1,2.392,323.816,0.721,"1,940.37",1,2,39.019,0.344,123.554,0,0,1,1
10.874,-1.994,323.373,1,8.884,14.483,4.144,518.931,0,1,1,2.096,67.769,0.769,"1,364.64",2,3,71.166,0.419,82.346,0,0,1,1
9.515,-0.486,161.174,1,8.623,19.315,3.877,"6,655.34",0,0,0,1.99,77.537,0.461,"4,875.61",1,2,129.588,0.398,435.6,0,0,0,1
10.793,-1.79,331.239,1,9,16.912,7.136,598.593,0,1,1,2.061,348.977,0.795,"3,202.93",2,3,67.989,0.375,170.418,0,0,1,1
10.94,-0.508,258.48,1,6.128,15.214,5.124,340.811,1,0,0,1.87,140.687,0.752,842.112,1,2,34.6,0.404,94.607,0,0,1,1
10.926,-0.956,239.081,1,6.92,12.987,4.249,294.462,1,0,0,1.945,103.601,0.62,"1,062.14",1,2,39.754,0.362,87.266,0,0,1,1
10.832,-1.506,230.058,1,7.228,15.477,5.971,210.63,0,1,0,1.932,185.434,0.828,"1,398.76",2,1,35.106,0.353,119.565,0,0,1,1
10.852,-1.021,210.815,2,8.261,8.933,3.331,412.393,0,0,0,1.323,229.995,0.355,746.367,1,2,33.065,0.292,108.037,0,0,0,1
10.934,-1.045,215.419,1,7.795,8.938,3.001,243.938,0,0,0,1.411,91.298,0.343,865.632,1,2,30.215,0.305,60.8,0,0,0,1
10.95,-0.738,225.269,1,6.458,9.508,3.098,227.038,1,0,0,1.202,50.985,0.596,374.465,1,2,60.701,0.41,65.271,0,0,1,1
10.744,-2.039,335.167,1,9,16.55,6.9,640,0,1,1,1.839,215.123,0.767,"1,936.10",2,3,71.11,0.417,148.95,0,0,1,1
10.852,-1.021,203.362,2,8.5,17.27,4,520,0,0,0,2.032,234.247,0.471,"1,991.10",1,2,61.18,0.232,146.79,0,0,0,1
10.878,-1.09,257.112,1,6.686,20.525,6.898,560.839,1,0,1,2.475,356.009,0.845,"2,360.89",1,2,76.294,0.335,167.204,0,0,1,1
10.369,-0.171,150.32,1,10.047,24.525,5.56,"3,891.42",0,0,0,1.366,359.538,0.27,"8,936.17",1,2,208.287,0.289,310.772,0,0,0,1
10.891,-1.172,231.924,1,8.403,19.936,5.454,481.576,1,0,1,1.859,203.071,0.522,"1,724.48",1,2,54.065,0.286,140.298,0,0,1,1
10.787,-0.731,334.906,1,6.037,13.556,5.274,397.075,0,1,0,2.18,153.836,0.807,703.784,2,1,75.747,0.409,96.198,0,0,1,1
7.193,-0.471,143.69,1,15.336,17.034,7.88,"1,769.85",0,1,0,1.696,194.115,0.844,"11,979.76",2,1,188.146,0.318,610.69,0,0,1,1
10.924,-0.438,265.857,1,7.016,11.246,6.735,417.708,1,0,1,2.375,134.537,0.811,"1,260.37",1,2,63.364,0.419,147.008,0,0,1,1
10.948,-0.324,268.855,1,6.146,15.352,4.776,397.521,0,0,0,2.128,177.843,0.748,890.809,1,2,62.621,0.295,94.367,0,0,0,1
10.893,-0.543,260.426,1,6,16.6,5.4,470,1,0,0,2.767,216.424,0.9,"1,298.55",1,2,78.33,0.325,99.6,0,0,1,1
6.243,0.111,60.712,2,31,26,8,"8,000",0,0,0,0.839,530.929,0.258,"16,458.80",1,2,258.06,0.308,806,2,2,0,1
10.826,-1.077,213.071,1,8.775,18.589,6.641,545.111,1,0,1,2.355,283.581,0.565,"2,132.78",1,2,62.337,0.281,181.742,0,0,1,1
10.872,-1.052,229.748,1,7.325,14.158,4.756,150.733,0,0,0,1.845,137.658,0.486,"1,289.72",1,2,22.924,0.282,114.809,0,0,0,1
10.867,-1.215,323.495,1,6.368,16.132,5.439,486.488,0,1,0,2.584,200.95,0.874,"1,321.86",2,1,77.996,0.378,104.701,0,0,1,1
10.744,-2.038,338.821,1,7,15.6,6.1,540,0,1,0,2.229,191.134,0.871,"1,337.94",2,1,77.14,0.391,109.2,0,0,1,1
10.852,-1.021,213.331,1,8,7.1,2.6,190,1,0,0,0.887,39.592,0.325,316.735,1,2,23.75,0.366,56.8,0,0,1,1
10.798,-1.812,320.152,1,7,14.69,3.649,448.614,0,1,0,2.043,173.989,0.536,"1,122.17",2,1,69.799,0.387,93.08,0,0,1,1
10.967,-0.513,267.244,1,6,12.377,5.015,410.389,0,0,0,2.497,122.925,0.812,"1,146.43",1,2,70.409,0.326,98.341,0,0,0,1
10.798,-1.102,305.486,1,8.159,16.382,6.589,241.577,0,1,1,1.904,209.588,0.731,"1,882.82",2,3,64.075,0.345,125.586,0,0,1,1
7.574,-0.693,98.556,1,28.461,24.39,7.859,983.555,1,0,1,1.108,396.822,0.332,"6,211.06",1,2,99.931,0.319,287.59,0,0,1,1
10.935,-0.499,282.233,1,4,8.7,3.8,330,0,0,0,2.175,59.447,0.95,237.787,1,2,82.5,0.437,34.8,0,0,0,1
10.876,-1.155,315.362,1,6.574,15.74,5.265,450.154,0,1,0,2.562,224.649,0.735,"1,451.55",2,1,64.064,0.387,109.354,0,0,1,1
11.027,-0.253,268.91,1,6,11.2,4.8,395,0,0,0,1.867,98.52,0.8,591.122,1,2,65.83,0.429,67.2,0,0,0,1
9.64,-0.384,176.324,2,10.593,21.573,5.518,593.522,0,0,0,1.791,435.624,0.457,"5,789.87",1,2,118.113,0.294,403.211,0,0,0,1
10.84,-1.096,224.627,1,8.528,8.506,7,343.191,1,0,1,1.969,79.439,0.393,"1,450.83",1,2,34.597,0.356,94.932,0,0,1,1
10.761,-1.711,292.632,1,8.096,13.791,5.281,342.622,0,1,1,1.838,162.421,0.62,"1,257.51",2,3,43.753,0.31,123.765,0,0,1,1
10.846,-0.526,259.773,1,7.025,15.443,5.07,273,1,0,0,2.524,220.971,0.678,"1,471.85",1,2,32.084,0.337,116.954,0,0,1,1
10.935,-0.499,270.018,1,4.852,11.455,4.05,353.368,0,0,0,2.518,130.748,0.838,"1,034.92",1,2,76.107,0.326,57.162,0,0,0,1
10.993,-0.342,269.074,1,4.393,9.258,4.692,342.633,0,0,0,1.971,92.145,0.802,588.683,1,2,81.86,0.435,62.013,0,0,0,1
10.478,-1.202,235.549,1,9.412,21.6,8.107,653.77,0,0,0,2.214,367.586,0.754,"3,763.09",1,1,64.147,0.369,253.145,0,0,0,1
10.757,-1.102,242.295,1,7.042,14.185,3.127,225.445,0,1,0,1.346,40.311,0.837,"1,162.16",2,1,36.009,0.384,100.205,0,0,1,1
10.788,-0.937,131.228,1,26.151,16.937,4.959,"4,856.98",0,0,0,0.938,466.765,0.434,"1,288.82",1,2,141.37,0.278,795.354,0,0,0,1
10.991,-0.957,221.195,2,6.699,14.654,4.222,490.958,0,0,0,1.891,168.093,0.577,"1,841.60",1,2,65.688,0.331,111.876,0,0,0,1
10.932,-1.003,258.053,1,6.844,13.246,4.5,328.479,0,0,0,1.984,155.37,0.658,"1,065.77",1,2,64.847,0.31,99.323,0,0,0,1
7.091,-0.771,95.527,1,15.941,22.81,7.917,"4,968.30",0,1,1,1.603,228.121,0.344,"12,903.02",2,3,116.374,0.317,422.477,0,0,1,1
10.906,-0.843,242.919,1,4.137,13.67,4.874,487.548,1,0,1,2.301,104.356,0.861,323.82,1,2,72.666,0.368,53.865,0,0,1,1
10.818,-1.105,293.071,1,4.3,9.522,4.514,507.825,0,1,0,2.226,179.946,0.876,"1,043.07",2,1,79.535,0.4,50.747,0,0,1,1
10.907,-0.535,265.114,1,6.189,16.741,4.891,460.551,0,0,0,2.758,221.897,0.853,"1,395.38",1,2,69.785,0.287,101.72,0,0,0,1
10.913,-0.519,271.04,1,5.348,15.526,4.178,460.545,0,0,0,2.253,93.592,0.928,485.49,1,2,81.427,0.409,57.343,0,0,0,1
11.014,-0.94,239.092,1,6.05,12.071,3.993,381.665,0,0,0,1.815,122.458,0.65,624.323,1,2,48.324,0.327,80.719,0,0,0,1
10.814,-0.659,319.709,1,6.836,16.589,5.801,633.026,0,1,1,2.691,215.625,0.856,"1,797.88",2,3,77.481,0.402,103.515,0,0,1,1
10.952,-0.996,268.76,1,4.482,10.251,3.446,293.736,0,0,0,1.812,120.143,0.773,738.219,1,2,55.053,0.28,58.286,0,0,0,1
10.88,-0.765,279.342,1,7.215,8.058,3.504,242.652,1,0,0,1.318,55.088,0.325,283.87,1,2,43.852,0.419,52.771,0,0,1,1
10.85,-1.022,208.749,1,8,14.884,4.376,59.445,1,0,0,1.278,163.92,0.378,673.481,1,2,9.098,0.345,89.604,0,0,1,1
10.876,-1.043,215.88,1,7.567,16.882,3.528,346.567,0,0,0,1.818,126.868,0.48,"1,082.75",1,2,45.027,0.267,102.678,0,0,0,1
10.89,-0.832,218.718,2,7.109,17.195,4.018,407.739,0,0,0,2.231,227.678,0.591,"1,917.11",1,2,61.345,0.238,132.259,0,0,0,1
10.859,-0.947,225.864,2,8.003,16.842,4.427,483.199,0,0,0,2.132,233.261,0.768,"1,944.14",1,2,74.166,0.32,132.294,0,0,0,1
10.379,-2.016,224.09,1,10.082,16.962,8.177,114.505,0,0,0,1.861,362.907,0.684,"2,308.31",1,1,58.777,0.362,187.758,0,0,0,1
10.934,-0.499,268.693,1,6.5,17,4.7,400,0,0,0,2.615,226.98,0.723,"1,475.37",1,2,61.54,0.276,110.5,0,0,0,1
10.617,-0.75,271.736,1,10.15,18.221,8.294,731.702,0,0,0,1.9,129.156,0.789,259.225,1,1,65.348,0.42,206.925,0,0,0,1
10.848,-0.787,211.438,1,5.331,13.177,5.153,200.686,1,0,0,2.002,120.508,0.898,"1,440.18",1,2,17.898,0.347,101.625,0,0,1,1
10.928,-0.863,216.611,2,6.028,16.619,3.962,474.322,0,0,0,2.105,181.367,0.832,438.163,1,2,70.846,0.296,48.952,0,0,0,1
10.832,-1.007,245.467,1,8.756,20.204,5.499,515.744,1,0,1,2.498,257.59,0.797,"2,334.77",1,2,63.209,0.32,157.769,0,0,1,1
10.814,-1.182,231.036,1,9,21.8,7.6,570,1,0,1,2.422,373.253,0.844,"3,359.27",1,2,63.33,0.349,196.2,0,0,1,1
10.774,-1.199,258.157,1,7.509,19.906,6.986,542.594,0,1,0,2.273,301.166,0.852,"2,868.71",2,1,76.457,0.367,116.543,0,0,1,1
10.829,-1.284,229.595,1,10.733,21.229,6.943,636.339,0,0,0,1.933,292.367,0.542,"3,969.01",1,1,62.475,0.289,159.703,0,0,0,1
8.298,0.048,201.885,1,22.856,19.072,6.251,"7,962.92",0,0,0,0.907,129.357,0.446,"16,418.55",1,2,90.279,0.394,119.822,0,0,0,1
10.946,-0.844,235.724,1,6.579,14.395,3.516,309.722,0,0,0,2.263,131.552,0.607,"1,448.60",1,2,61.263,0.271,88.645,0,0,0,1
10.547,-1.226,227.175,1,8.574,19.765,4.898,670.952,0,0,0,1.687,196.65,0.649,"2,787.62",1,1,33.402,0.366,210.037,0,0,0,1
10.767,-1.862,287.741,1,7.897,16.934,6.365,415.477,0,1,1,1.981,223.089,0.743,"1,933.86",2,3,65.341,0.28,135.596,0,0,1,1
10.62,-1.364,255.319,1,11.694,21.063,5.037,628.14,0,0,0,2.18,328.389,0.692,"3,178.18",1,1,63.061,0.367,195.836,0,0,0,1
10.367,-2.038,248.897,1,12,21.6,8.3,770,0,0,0,1.8,366.435,0.692,"4,397.22",1,1,64.17,0.384,259.2,0,0,0,1
9.992,-0.968,101.248,1,21.136,17.189,5.274,"4,045.94",1,0,0,1.478,438.093,0.622,"11,528.42",1,2,223.386,0.329,605.159,0,0,1,1
10.696,-0.825,89.547,1,11.403,15.553,4.095,"2,503.32",1,0,0,0.853,61.405,0.26,"4,577.07",1,2,114.265,0.356,474.337,0,0,1,1
10.484,-1.718,256.099,1,11.046,18.566,8.065,506.458,0,0,0,2.511,293.338,0.886,"2,557.40",1,1,70.121,0.352,175.34,0,0,0,1
