0,District,Geographic_Zone,Latitude,Longitude,Altitude_m,Tree_Growth_Habitat,DBH_mm,Height_m,Crown_Diameter_m,Trunk_Diameter_m,Farm_Cultivated,Topography,Soil_Texture,Uses_Fruit,Uses_Leaf,Uses_Stem,Uses_Root,Uses_Seed,Target_Food,Target_Beverage,Target_Medicine,coord_match,Drainage,taste_attribute,medicine_use,stem_used,crown_height_ratio,canopy_area_m2,trunk_height_ratio,plant_use_count,parts_used_count,dbh_height_ratio,trunk_crown_ratio,height_crown_product,dbh_category,height_category,total_special_attributes,target,height_dbh_ratio,crown_trunk_ratio,canopy_volume_proxy,trunk_slenderness,altitude_normalized,altitude_height_interaction,altitude_crown_interaction,total_parts_used,Geographic_Zone_encoded,Tree_Growth_Habitat_encoded,Topography_encoded,Soil_Texture_encoded,Farm_Cultivated_encoded
Bono East,Kintampo North Municipal,Middle_Zone,8.148,-2.089,144.92,Spreading,"3,000",21,16,3,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.148, -2.089)",1,0,1,0,0.81,226.98,0.138,2,2,138.1,0.171,357,1,1,1,2,6.774193548,5.161290323,5376,6.774193548,0.296948591,3043.32,2318.72,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.148,-2.089,144.92,Spreading,"3,000",21,16,3,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.148, -2.089)",1,0,1,0,0.762,201.062,0.143,2,2,142.86,0.188,336,2,1,1,2,6.774193548,5.161290323,5376,6.774193548,0.296948591,3043.32,2318.72,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.148,-2.089,144.92,Spreading,"3,000",21,16,3,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.148, -2.089)",1,0,1,0,0.818,254.469,0.123,2,2,122.73,0.15,396,1,1,1,2,6.774193548,5.161290323,5376,6.774193548,0.296948591,3043.32,2318.72,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,700",22,18,2.7,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,7.857142857,6.428571429,7128,7.857142857,0.390146433,3906.54,3196.26,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,900",21,17,2.9,Unknown,Flat land,Sandy loam,1,1,0,0,0,1,1,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,7,5.666666667,6069,7,0.390146433,3728.97,3018.69,2,0,2,0,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.096,142.7,Spreading,"3,100",23,18,31,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.096)",1,0,1,0,0.783,254.469,0.174,2,2,134.78,0.222,414,2,1,1,2,0.739549839,0.578778135,7452,0.739549839,0.290611709,3282.1,2568.6,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,165.08,Spreading,"2,700",18,13,2.7,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.722,132.732,0.15,2,2,150,0.208,234,1,1,1,2,6.428571429,4.642857143,3042,6.428571429,0.354494334,2971.44,2146.04,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,165.08,Spreading,"2,700",18,13,2.7,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.652,176.715,0.122,2,2,121.74,0.187,345,1,1,1,2,6.428571429,4.642857143,3042,6.428571429,0.354494334,2971.44,2146.04,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,165.08,Spreading,"2,700",18,13,2.7,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.667,153.938,0.114,2,2,114.29,0.171,294,1,1,1,2,6.428571429,4.642857143,3042,6.428571429,0.354494334,2971.44,2146.04,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,165.08,Spreading,"2,700",18,13,2.7,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.65,132.732,0.15,2,2,150,0.231,260,2,1,1,2,6.428571429,4.642857143,3042,6.428571429,0.354494334,2971.44,2146.04,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,145.21,Spreading,"2,800",23,15,2.8,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.722,132.732,0.15,2,2,150,0.208,234,1,1,1,2,7.931034483,5.172413793,5175,7.931034483,0.297776382,3339.83,2178.15,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,145.21,Spreading,"2,800",23,15,2.8,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.652,176.715,0.122,2,2,121.74,0.187,345,1,1,1,2,7.931034483,5.172413793,5175,7.931034483,0.297776382,3339.83,2178.15,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,145.21,Spreading,"2,800",23,15,2.8,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.667,153.938,0.114,2,2,114.29,0.171,294,1,1,1,2,7.931034483,5.172413793,5175,7.931034483,0.297776382,3339.83,2178.15,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,145.21,Spreading,"2,800",23,15,2.8,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.65,132.732,0.15,2,2,150,0.231,260,2,1,1,2,7.931034483,5.172413793,5175,7.931034483,0.297776382,3339.83,2178.15,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"3,000",20,13,3,Fallow land,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,6.451612903,4.193548387,3380,6.451612903,0.390146433,3551.4,2308.41,2,0,2,4,8,2
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,900",21,15,2.9,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,7,5,4725,7,0.390146433,3728.97,2663.55,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.151,-2.097,184.69,Spreading,"2,800",19,13,2.8,Unknown,Undulating,Sandy loam,1,0,0,0,0,1,1,1,"(8.151, -2.097)",1,0,1,0,0.684,132.732,0.147,2,1,147.37,0.215,247,1,1,1,2,6.551724138,4.482758621,3211,6.551724138,0.410470128,3509.11,2400.97,1,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,900",20,16,2.9,Unknown,Hilly,Sandy loam,1,1,0,0,0,1,0,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,6.666666667,5.333333333,5120,6.666666667,0.390146433,3551.4,2841.12,2,0,2,1,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.09,-1.896,180.24,Erect,"2,200",23,8,2.2,Unknown,Flat land,Sandy loam,1,1,0,0,0,1,1,1,"(8.09, -1.896)",1,0,1,0,0.348,50.265,0.096,2,2,95.65,0.275,184,1,1,1,2,10,3.47826087,1472,10,0.397767819,4145.52,1441.92,2,0,1,0,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.149,-2.076,153.59,Spreading,"2,600",22,14,2.6,Unknown,Hilly,Sandy loam,1,1,0,0,0,1,1,1,"(8.149, -2.076)",1,0,1,0,0.636,153.938,0.118,2,2,118.18,0.186,308,1,1,1,2,8.148148148,5.185185185,4312,8.148148148,0.321696686,3378.98,2150.26,2,0,2,1,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.149,-2.076,145.08,Spreading,"3,100",21,15,3.1,Unknown,Flat land,Sandy loam,1,1,0,0,0,1,1,1,"(8.149, -2.076)",1,0,1,0,0.636,153.938,0.118,2,2,118.18,0.186,308,1,1,1,2,6.5625,4.6875,4725,6.5625,0.297405304,3046.68,2176.2,2,0,2,0,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.091,-1.896,177.52,Erect,"2,400",21,11,2.4,Unknown,Flat land,Sandy loam,1,1,1,0,0,1,1,1,"(8.091, -1.896)",1,0,1,1,0.524,95.033,0.114,2,3,114.29,0.218,231,1,1,1,2,8.4,4.4,2541,8.4,0.390003711,3727.92,1952.72,3,0,1,0,8,7
Bono East,Kintampo South,Middle_Zone,7.822,-1.759,331.82,Spreading,"3,100",20,15,3.1,Field,Undulating,Sandy loam,1,1,0,0,0,1,1,0,"(7.822, -1.759)",1,0,0,0,0.75,176.715,0.155,1,2,155,0.207,300,2,1,0,2,6.25,4.6875,4500,6.25,0.83044558,6636.4,4977.3,2,0,2,4,8,3
Bono East,Kintampo South,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,900",20,16,2.9,Field,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,6.666666667,5.333333333,5120,6.666666667,0.390146433,3551.4,2841.12,2,0,2,4,8,3
Bono East,Nkoranza North,Middle_Zone,7.638,-1.725,353.38,Spreading,"3,400",19,17,34,Other,Undulating,Sandy loam,1,1,0,0,0,1,1,0,"(7.638, -1.725)",,,,,,,,,,,,,,,,,0.557184751,0.498533724,5491,0.557184751,0.891987555,6714.22,6007.46,2,0,2,4,8,5
Bono East,Nkoranza North,Middle_Zone,8.028,-0.585,177.57,Spreading,"3,100",18,15,3.1,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,5.625,4.6875,4050,5.625,0.390146433,3196.26,2663.55,2,0,2,4,8,0
Bono East,Nkoranza North,Middle_Zone,8.028,-0.585,177.57,Erect,"2,100",19,10,2.1,Field,Undulating,Sandy loam,1,1,0,0,0,1,1,0,"(8.028, -0.585)",,,,,,,,,,,,,,,,,8.636363636,4.545454545,1900,8.636363636,0.390146433,3373.83,1775.7,2,0,1,4,8,3
Bono East,Nkoranza North,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,800",20,14,2.8,Field,Undulating,Sandy loam,1,1,0,0,0,1,1,0,"(8.028, -0.585)",,,,,,,,,,,,,,,,,6.896551724,4.827586207,3920,6.896551724,0.390146433,3551.4,2485.98,2,0,2,4,8,3
Eastern,Asuogyaman,Southern_Zone,6.236,0.1,45.93,Erect,"3,000",19,10,3,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,1,1,1,0,0,1,1,1,"(6.236, 0.1)",,,,,,,,,,,,,,,,,6.129032258,3.225806452,1900,6.129032258,0.014386436,872.67,459.3,3,2,1,0,4,0
Eastern,Asuogyaman,Southern_Zone,6.243,0.111,60.93,Spreading,"8,000",31,26,8,Orchard,Flat land,Sand,1,1,0,0,0,1,1,0,"(6.243, 0.111)",2,0,0,0,0.839,530.929,0.258,1,2,258.06,0.308,806,2,2,0,1,3.827160494,3.209876543,20956,3.827160494,0.057203208,1888.83,1584.18,2,2,2,0,4,4
Eastern,Asuogyaman,Southern_Zone,6.243,0.111,60.93,Spreading,"8,000",31,26,8,Orchard,Flat land,Sand,1,1,0,0,0,1,1,0,"(6.243, 0.111)",2,0,0,0,0.613,283.529,0.29,1,2,290.32,0.474,589,2,2,0,2,3.827160494,3.209876543,20956,3.827160494,0.057203208,1888.83,1584.18,2,2,2,0,4,4
Eastern,Asuogyaman,Southern_Zone,6.243,0.111,64.63,Spreading,"9,000",31,19,9,Fallow land,Flat land,Sand,1,1,0,0,0,1,1,0,"(6.243, 0.111)",2,0,0,0,0.839,530.929,0.258,1,2,258.06,0.308,806,2,2,0,1,3.406593407,2.087912088,11191,3.406593407,0.067764679,2003.53,1227.97,2,2,2,0,4,2
Eastern,Asuogyaman,Southern_Zone,6.243,0.111,64.63,Spreading,"9,000",31,19,9,Fallow land,Flat land,Sand,1,1,0,0,0,1,1,0,"(6.243, 0.111)",2,0,0,0,0.613,283.529,0.29,1,2,290.32,0.474,589,2,2,0,2,3.406593407,2.087912088,11191,3.406593407,0.067764679,2003.53,1227.97,2,2,2,0,4,2
Eastern,Asuogyaman,Southern_Zone,6.243,0.112,70.05,Spreading,"5,000",28,18,5,Fallow land,Flat land,Sand,0,1,0,0,0,1,0,0,"(6.243, 0.112)",2,0,0,0,0.643,254.469,0.179,1,1,178.57,0.278,504,2,2,0,0,5.490196078,3.529411765,9072,5.490196078,0.083235806,1961.4,1260.9,1,2,2,0,4,2
Eastern,Asuogyaman,Southern_Zone,6.24,0.093,40.89,Spreading,"8,000",31,22,8,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,1,1,1,0,0,1,1,1,"(6.24, 0.093)",1,1,1,1,0.71,380.133,0.258,2,3,258.06,0.364,682,2,2,2,2,3.827160494,2.716049383,15004,3.827160494,0,1267.59,899.58,3,2,2,0,8,0
Eastern,Yilo Krobo,Southern_Zone,6.057,-0.03,109.05,Spreading,"7,000",15,10,7,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,1,1,0,0,0,1,1,1,"(6.057, -0.03)",1,1,1,0,0.667,78.54,0.467,2,2,466.67,0.7,150,2,1,2,2,2.112676056,1.408450704,1500,2.112676056,0.194559415,1635.75,1090.5,2,2,2,0,8,0
Eastern,Yilo Krobo,Southern_Zone,6.058,-0.028,128.37,Erect,"5,000",18,12,5,Fallow land,Swamp,Clay loam,1,1,0,0,0,1,0,1,"(6.058, -0.028)",1,0,0,0,0.765,183.854,0.25,1,1,250,0.327,306,2,1,0,0,3.529411765,2.352941176,2592,3.529411765,0.249707419,2310.66,1540.44,2,2,1,3,1,2
Eastern,Yilo Krobo,Southern_Zone,6.058,-0.028,128.37,Erect,"5,000",18,12,5,Fallow land,Swamp,Clay loam,1,1,0,0,0,1,0,1,"(6.058, -0.028)",1,1,1,0,0.667,113.097,0.278,2,2,277.78,0.417,216,2,1,2,2,3.529411765,2.352941176,2592,3.529411765,0.249707419,2310.66,1540.44,2,2,1,3,1,2
Eastern,Yilo Krobo,Southern_Zone,6.057,-0.025,147.86,Erect,"5,000",22,16,5,Fallow land,Swamp,Clay loam,0,1,0,0,0,1,1,0,"(6.057, -0.025)",,,,,,,,,,,,,,,,,4.31372549,3.137254902,5632,4.31372549,0.305340679,3252.92,2365.76,1,2,1,3,1,2
Eastern,Yilo Krobo,Southern_Zone,6.054,-0.026,150.82,Erect,"6,000",21,12,6,Field,Flat land,Sandy loam,1,1,0,0,0,1,1,1,"(6.054, -0.026)",2,1,1,0,0.729,183.854,0.286,2,2,285.71,0.392,321.3,2,1,2,0,3.442622951,1.967213115,3024,3.442622951,0.313789855,3167.22,1809.84,2,2,1,0,8,3
Eastern,Yilo Krobo,Southern_Zone,6.065,-0.018,88.79,Erect,"3,000",22,16,3,Field,Flat land,Sandy loam,1,1,1,0,0,1,1,0,"(6.065, -0.018)",,,,,,,,,,,,,,,,,7.096774194,5.161290323,5632,7.096774194,0.136728228,1953.38,1420.64,3,2,1,0,8,3
Eastern,Yilo Krobo,Southern_Zone,6.103,0.004,83.3,Spreading,"5,000",26,18,5,Fallow land,Flat land,Sandy loam,1,1,0,0,0,1,1,0,"(6.103, 0.004)",,,,,,,,,,,,,,,,,5.098039216,3.529411765,8424,5.098039216,0.121057289,2165.8,1499.4,2,2,2,0,8,2
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,800",22,14,2.8,Unknown,Flat land,Sandy clay loam,1,1,0,0,0,1,1,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,7.586206897,4.827586207,4312,7.586206897,0.390146433,3906.54,2485.98,2,0,2,0,7,7
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.301,-2.179,210.6,Spreading,"3,500",19,22,3.5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,0,"(8.301, -2.179)",2,0,0,0,0.7,153.938,0.18,1,2,180,0.257,280,2,1,0,2,5.277777778,6.111111111,9196,5.277777778,0.484428967,4001.4,4633.2,2,0,2,4,8,0
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.301,-2.179,210.6,Spreading,"3,500",19,22,3.5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,0,"(8.301, -2.179)",2,0,0,0,1.158,380.133,0.184,1,2,184.21,0.159,418,2,1,0,2,5.277777778,6.111111111,9196,5.277777778,0.484428967,4001.4,4633.2,2,0,2,4,8,0
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.301,-2.179,209.77,Spreading,"3,600",20,14,3.6,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,1,0,"(8.301, -2.179)",2,0,0,0,0.7,153.938,0.18,1,2,180,0.257,280,2,1,0,2,5.405405405,3.783783784,3920,5.405405405,0.482059772,4195.4,2936.78,2,0,2,4,8,0
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.301,-2.179,209.77,Spreading,"3,600",20,14,3.6,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,1,0,"(8.301, -2.179)",2,0,0,0,1.158,380.133,0.184,1,2,184.21,0.159,418,2,1,0,2,5.405405405,3.783783784,3920,5.405405405,0.482059772,4195.4,2936.78,2,0,2,4,8,0
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.53,-2.202,183.66,Spreading,"2,400",19,12,2.4,Field,Flat land,Sand,1,1,0,0,0,1,0,1,"(8.53, -2.202)",,,,,,,,,,,,,,,,,7.6,4.8,2736,7.6,0.407530043,3489.54,2203.92,2,0,2,0,4,3
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.236,-1.928,127.51,Spreading,"2,300",20,15,2.3,Unknown,Flat land,Sandy clay loam,1,1,0,0,0,1,1,1,"(8.236, -1.928)",1,0,1,0,0.75,176.715,0.115,2,2,115,0.153,300,1,1,1,2,8.333333333,6.25,4500,8.333333333,0.24725259,2550.2,1912.65,2,0,2,0,7,7
Savannah,Sawla-Tuna-Kalba,Middle_Zone,8.236,-1.928,127.51,Spreading,"2,300",20,15,2.3,Unknown,Flat land,Sandy clay loam,1,1,0,0,0,1,1,1,"(8.236, -1.928)",1,0,1,0,0.636,153.938,0.127,2,2,127.27,0.2,308,1,1,1,2,8.333333333,6.25,4500,8.333333333,0.24725259,2550.2,1912.65,2,0,2,0,7,7
Upper East,Nabdam,Northern_Zone,10.797,-0.794,350.66,Drooping,950,7,21.9,12.3,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Loam,1,1,0,0,1,1,0,1,"(10.797, -0.794)",1,1,1,0,3.129,376.685,1.757,2,2,135.71,0.562,153.3,0,0,2,0,0.564516129,1.766129032,3357.27,0.564516129,0.884223446,2454.62,7679.454,3,1,0,0,2,0
Upper East,Nabdam,Northern_Zone,10.934,-0.499,231.61,Drooping,330,4,8.7,3.8,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy clay loam,1,1,0,0,0,1,1,0,"(10.934, -0.499)",1,0,0,0,2.615,226.98,0.723,1,2,61.54,0.276,110.5,0,0,0,1,1.025641026,2.230769231,302.76,1.025641026,0.544400993,926.44,2015.007,2,1,0,0,7,0
Upper East,Nabdam,Northern_Zone,10.934,-0.499,231.61,Drooping,330,4,8.7,3.8,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy clay loam,1,1,0,0,0,1,1,0,"(10.934, -0.499)",1,0,0,0,1.167,38.485,0.833,1,2,83.33,0.714,42,0,0,0,2,1.025641026,2.230769231,302.76,1.025641026,0.544400993,926.44,2015.007,2,1,0,0,7,0
Upper East,Nabdam,Northern_Zone,10.959,-1.1,234.35,Drooping,530,9,17.8,5.8,Field,Flat land,Sand,1,1,0,0,0,1,0,0,"(10.959, -1.1)",1,0,0,0,0.89,248.846,0.29,1,2,26.5,0.326,356,0,1,0,2,1.525423729,3.016949153,2851.56,1.525423729,0.552222191,2109.15,4171.43,2,1,0,0,4,3
Upper East,Nabdam,Northern_Zone,10.96,-1.099,240.09,Erect,280,7,12.65,3.4,Field,Flat land,Clay loam,1,1,0,0,1,1,0,0,"(10.96, -1.099)",,,,,,,,,,,,,,,,,2,3.614285714,1120.1575,2,0.568606742,1680.63,3037.1385,3,1,1,0,1,3
Upper East,Nabdam,Northern_Zone,10.965,-1.102,240.97,Drooping,810,9,18.8,9.2,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sand,1,1,0,0,0,1,0,0,"(10.965, -1.102)",1,0,0,0,2.089,277.591,1.022,1,2,90,0.489,169.2,0,0,0,2,0.967741935,2.021505376,3180.96,0.967741935,0.57111866,2168.73,4530.236,2,1,0,0,4,0
Upper East,Nabdam,Middle_Zone,8.028,-0.585,177.57,Drooping,550,8.5,18.1,6,Other,Flat land,Sandy loam,1,1,0,0,0,1,0,0,"(8.028, -0.585)",,,,,,,,,,,,,,,,,1.393442623,2.967213115,2784.685,1.393442623,0.390146433,1509.345,3214.017,2,0,0,0,8,5
